"n","nnodes","pnodes","rates","delta"
461586,3870898,0.0328866,0.0690455,6079.5
462386,3876894,0.0328805,0.0690349,6066.0
463186,3883030,0.0328757,0.0690265,6209.0
463986,3889312,0.0328721,0.0690202,6243.5
464786,3895517,0.0328679,0.0690129,6258.5
465586,3901829,0.0328646,0.0690071,6207.0
466386,3907931,0.0328595,0.0689983,6130.0
467186,3914089,0.0328549,0.0689903,6174.5
467986,3920280,0.0328507,0.0689828,6224.0
468786,3926537,0.0328469,0.0689764,6301.5
469586,3932883,0.032844,0.0689712,6265.5
470386,3939068,0.0328397,0.0689637,6358.0
471186,3945599,0.0328383,0.0689613,6343.5
