"n","nnodes","pnodes","rate","delta"
319186,3847540,0.0472715,0.0941207,9194.0
319986,3856655,0.047265,0.0941094,9119.0
320786,3865778,0.0472587,0.0940983,8917.5
321586,3874490,0.0472473,0.0940786,8879.0
322386,3883536,0.0472401,0.094066,9001.0
323186,3892492,0.0472319,0.0940516,8972.0
323986,3901480,0.047224,0.094038,8935.0
324786,3910362,0.0472149,0.0940221,8922.5
325586,3919325,0.0472069,0.0940081,9049.0
326386,3928460,0.0472009,0.0939977,9092.0
327186,3937509,0.047194,0.0939856,9068.0
327986,3946596,0.0471875,0.0939743,8924.5
328786,3955358,0.0471772,0.0939564,8816.5
329586,3964229,0.0471683,0.0939408,8883.0
330386,3973124,0.0471596,0.0939257,9029.5
331186,3982288,0.0471542,0.0939163,9246.0
331986,3991616,0.0471508,0.0939103,9202.0
332786,4000692,0.0471444,0.0938991,9105.5
333586,4009827,0.0471387,0.0938892,9178.5
334386,4019049,0.0471341,0.0938812,9200.0
335186,4028227,0.047129,0.0938723,9044.5
335986,4037138,0.0471208,0.093858,8823.0
336786,4045873,0.0471105,0.0938401,8793.5
337586,4054725,0.0471017,0.0938248,8704.5
338386,4063282,0.0470895,0.0938035,8805.0
339186,4072335,0.0470831,0.0937924,9128.5
339986,4081539,0.0470785,0.0937843,9256.0
340786,4090847,0.0470751,0.0937784,9255.5
341586,4100050,0.0470705,0.0937704,9148.5
342386,4109144,0.0470647,0.0937602,9084.0
343186,4118218,0.0470587,0.0937497,8974.0
343986,4127092,0.0470504,0.0937353,8742.0
344786,4135702,0.0470391,0.0937157,8816.0
345586,4144724,0.0470326,0.0937043,9010.5
346386,4153723,0.0470259,0.0936926,8920.5
347186,4162565,0.0470174,0.0936778,9065.5
347986,4171854,0.047014,0.0936719,9168.0
348786,4180901,0.0470079,0.0936612,8977.5
349586,4189809,0.0470002,0.0936479,9011.0
350386,4198923,0.0469949,0.0936386,8957.5
351186,4207724,0.0469862,0.0936233,9079.0
351986,4217081,0.0469836,0.0936189,9208.0
352786,4226140,0.0469778,0.0936087,8968.5
353586,4235018,0.0469699,0.0935951,8771.0
354386,4243682,0.0469598,0.0935774,8711.5
355186,4252441,0.0469507,0.0935616,8951.0
355986,4261584,0.0469459,0.0935532,9158.0
356786,4270757,0.0469415,0.0935455,9041.5
357586,4279667,0.0469342,0.0935327,8880.0
358386,4288517,0.0469263,0.0935189,8907.0
359186,4297481,0.0469196,0.0935073,8922.5
359986,4306362,0.0469121,0.0934942,8843.0
360786,4315167,0.0469038,0.0934797,8894.0
361586,4324150,0.0468974,0.0934686,9066.0
362386,4333299,0.0468929,0.0934608,9039.0
363186,4342228,0.046886,0.0934488,9022.5
363986,4351344,0.0468812,0.0934403,9085.5
364786,4360399,0.0468757,0.0934308,8902.0
365586,4369148,0.046867,0.0934156,8669.0
366386,4377737,0.0468566,0.0933975,8881.0
367186,4386910,0.0468525,0.0933903,8971.0
367986,4395679,0.0468441,0.0933756,8806.5
368786,4404523,0.0468365,0.0933624,8891.5
369586,4413462,0.04683,0.093351,8892.0
370386,4422307,0.0468225,0.093338,9005.0
371186,4431472,0.0468184,0.0933308,9072.0
371986,4440451,0.0468123,0.0933203,8899.0
372786,4449270,0.0468046,0.0933069,8828.0
373586,4458107,0.0467972,0.0932939,8941.5
374386,4467153,0.0467919,0.0932848,9113.5
375186,4476334,0.0467881,0.0932781,9119.0
375986,4485391,0.046783,0.0932693,8950.0
376786,4494234,0.0467757,0.0932566,8885.5
377586,4503162,0.0467694,0.0932454,8854.0
378386,4511942,0.0467615,0.0932317,8932.5
379186,4521027,0.0467568,0.0932235,9132.5
379986,4530207,0.0467531,0.093217,9072.0
380786,4539171,0.0467472,0.0932067,8988.0
381586,4548183,0.0467418,0.0931974,8816.0
382386,4556803,0.0467324,0.093181,8897.5
383186,4565978,0.0467287,0.0931746,9171.5
383986,4575146,0.046725,0.0931681,9114.0
384786,4584206,0.0467202,0.0931597,9207.0
385586,4593560,0.0467184,0.0931566,9101.5
386386,4602409,0.0467115,0.0931445,9122.5
387186,4611805,0.0467101,0.0931422,9061.5
387986,4620532,0.046702,0.093128,8868.0
388786,4629541,0.0466968,0.0931189,8820.5
389586,4638173,0.0466878,0.0931032,8917.0
390386,4647375,0.0466846,0.0930976,9028.5
391186,4656230,0.0466779,0.0930859,8925.5
391986,4665226,0.0466726,0.0930767,8963.5
392786,4674157,0.0466667,0.0930665,9024.5
393586,4683275,0.0466627,0.0930595,9032.5
394386,4692222,0.046657,0.0930496,8969.0
395186,4701213,0.0466518,0.0930405,9021.0
395986,4710264,0.0466472,0.0930324,9042.5
396786,4719298,0.0466424,0.0930241,8851.5
397586,4727967,0.0466341,0.0930096,8833.0
398386,4736964,0.046629,0.0930007,8908.0
399186,4745783,0.0466222,0.0929888,8893.5
399986,4754751,0.0466168,0.0929795,9114.0
400786,4764011,0.0466144,0.0929753,9013.5
401586,4772778,0.0466071,0.0929626,8698.5
402386,4781408,0.0465986,0.0929477,8703.5
403186,4790185,0.0465915,0.0929354,8813.5
403986,4799035,0.0465851,0.0929243,9018.0
404786,4808221,0.0465821,0.0929189,9097.5
405586,4817230,0.0465773,0.0929106,9039.0
406386,4826299,0.0465731,0.0929033,8942.5
407186,4835115,0.0465665,0.0928918,8889.0
407986,4844077,0.0465614,0.0928828,8843.0
408786,4852801,0.0465539,0.0928699,8883.5
409586,4861844,0.0465496,0.0928623,8922.5
410386,4870646,0.0465429,0.0928507,8608.0
411186,4879060,0.0465326,0.0928328,8600.5
411986,4887847,0.0465259,0.0928211,8896.0
412786,4896852,0.0465213,0.092813,8927.5
413586,4905702,0.0465152,0.0928024,8957.5
414386,4914767,0.0465112,0.0927954,8876.5
415186,4923455,0.0465037,0.0927823,8793.5
415986,4932354,0.0464981,0.0927726,8917.0
416786,4941289,0.0464929,0.0927636,8990.0
417586,4950334,0.0464888,0.0927564,8948.0
418386,4959185,0.0464829,0.092746,8889.0
419186,4968112,0.0464777,0.092737,8814.5
419986,4976814,0.0464704,0.0927243,8702.0
420786,4985516,0.0464632,0.0927116,8851.0
421586,4994516,0.0464587,0.0927039,9059.0
422386,5003634,0.0464554,0.0926981,8921.5
423186,5012359,0.0464484,0.0926859,8820.5
423986,5021275,0.0464432,0.0926769,9038.0
424786,5030435,0.0464403,0.0926718,8969.5
425586,5039214,0.0464339,0.0926607,8831.0
426386,5048097,0.0464285,0.0926512,8971.0
427186,5057156,0.0464247,0.0926446,9073.5
427986,5066244,0.0464212,0.0926385,8888.5
428786,5074933,0.0464141,0.0926261,8640.0
429586,5083524,0.046406,0.0926121,9076.0
430386,5093085,0.0464069,0.0926136,9201.0
431186,5101926,0.0464012,0.0926037,8849.5
431986,5110784,0.0463957,0.0925941,8937.0
432786,5119800,0.0463916,0.092587,8937.0
433586,5128658,0.0463861,0.0925774,8976.0
434386,5137752,0.0463828,0.0925716,8753.0
435186,5146164,0.0463734,0.0925551,8675.5
435986,5155103,0.0463687,0.0925469,8933.0
436786,5164030,0.0463639,0.0925386,8975.5
437586,5173054,0.04636,0.0925318,8881.5
438386,5181793,0.0463536,0.0925206,8720.5
439186,5190495,0.0463468,0.0925089,8724.0
439986,5199241,0.0463405,0.0924979,8783.0
440786,5208061,0.0463349,0.0924881,8839.5
441586,5216920,0.0463296,0.0924789,9012.5
442386,5226086,0.0463271,0.0924745,9032.5
